name,length,height,color
Shape 1,22,9,21
Shape 2,22,2,6
Shape 3,23,7,29
Shape 4,20,16,1
Shape 5,17,23,14
Shape 6,3,7,25
Shape 7,5,14,5
Shape 8,17,1,21
Shape 9,13,21,13
Shape 10,19,2,19
Shape 11,1,23,22
Shape 12,25,5,20
Shape 13,10,19,7
Shape 14,27,0,4
Shape 15,17,12,30
Shape 16,25,25,21
Shape 17,29,21,28
Shape 18,18,19,2
Shape 19,27,1,16
Shape 20,7,30,0
Shape 21,16,21,4
Shape 22,14,10,23
Shape 23,3,25,26
Shape 24,19,0,16
Shape 25,12,0,28
Shape 26,6,3,23
Shape 27,3,11,16
Shape 28,15,28,18
Shape 29,30,24,3
Shape 30,20,7,13
